|trigger_num|name       |t90     |t90_error|fluence_2 |fluence_2_error|fluence_3 |fluence_3_error|
|      02052|4B 921112- |        |         |          |               |          |               |
|      07980|GRB 000203 |   0.240|    0.074|2.3041e-08|     3.4710e-09|1.0077e-07|     9.4939e-09|
|      06405|GRB 970930-|  30.144|    3.567|3.9933e-07|     1.7941e-08|9.0284e-07|     5.0732e-08|
|      03875|4B 951019  |   8.384|    1.473|2.8148e-07|     8.8741e-09|3.2130e-07|     1.9202e-08|
|      06497|GRB 971124 |   3.328|    0.730|2.5923e-08|     6.0335e-09|1.6648e-07|     1.8168e-08|
|      01579|4B 920502- |  73.472|    4.160|4.6581e-07|     1.6820e-08|3.1774e-06|     4.8660e-08|
|      06404|GRB 970930-|  36.992|    0.202|3.8240e-06|     2.6345e-08|1.0181e-05|     7.3084e-08|
|      05637|GRB 961019 |  13.184|    1.409|3.4595e-07|     1.3572e-08|9.3955e-07|     3.5408e-08|
|      07515|GRB 990411-| 328.448|   11.968|2.0970e-06|     7.2198e-08|5.2295e-06|     1.6936e-07|
|      02590|4B 931017  |        |         |          |               |          |               |
|      01608|4B 920517- |        |         |          |               |          |               |
|      01306|4B 920120  |   7.296|    2.834|1.2444e-07|     1.3041e-08|1.8113e-07|     2.3347e-08|
|      01590|4B 920509  |  69.504|    3.765|8.2632e-07|     2.2245e-08|1.2134e-06|     5.3795e-08|
|      03255|4B 941023- |  34.880|    0.653|3.4138e-06|     2.7971e-08|6.1144e-06|     6.7950e-08|
|      03590|4B 950522- |        |         |          |               |          |               |
|      01303|4B 920116- |  21.248|    2.064|2.4633e-07|     1.6650e-08|1.1846e-06|     3.4984e-08|
|      00761|4B 910905  |  81.472|    1.105|4.1183e-06|     5.3324e-08|1.1683e-05|     1.2254e-07|
|      05733|GRB 961230 |   0.675|    0.182|1.1378e-08|     2.9889e-09|3.7002e-08|     8.4714e-09|
|      07113|GRB 980923 |  33.024|    0.091|3.3014e-05|     6.3676e-08|1.3913e-04|     1.9275e-07|
|      02395|4B 930614- |   0.128|    0.091|9.0176e-09|     2.1433e-09|3.1302e-08|     5.5693e-09|
|      03322|4B 941217  |  26.720|    4.845|2.1349e-07|     1.6192e-08|6.4744e-07|     5.1060e-08|
|      07156|GRB 981015-|        |         |          |               |          |               |
|      05629|GRB 961009-|        |         |5.4310e-06|     4.3786e-08|1.7980e-05|     1.1827e-07|
|      07560|GRB 990510-|  68.032|    0.202|3.9237e-06|     3.2703e-08|8.0432e-06|     7.7607e-08|
|      03639|4B 950611- |        |         |6.8028e-07|     1.0348e-07|1.9302e-06|     3.1326e-07|
|      02145|4B 930124  |   0.768|    0.405|9.8610e-09|     2.6056e-09|4.6064e-08|     7.2375e-09|
|      02375|4B 930606- |  67.840|    3.756|3.7886e-07|     3.3083e-08|2.4787e-06|     8.5765e-08|
|      07939|GRB 000108-|   1.039|    0.072|4.0968e-07|     7.0091e-09|1.0276e-06|     1.8371e-08|
|      05456|4B 960508- |   3.904|    0.643|1.7241e-07|     7.9808e-09|4.8803e-07|     2.1178e-08|
